"location","totalPopulation","totalTest","totalCases","totalVac","totalDeaths","PercentageTested","PositivityRate","totalPercentageInfected","totalVaccinated","totalDeathPercentage"
Belize,404915,"563789",60063,"122692",678,139.23638294456862,10.653453685687376,14.8335,30.30068038971142,1.1288
Benin,12451031,"604310",26952,"827261",163,4.853493658476957,4.459962601975807,0.2165,6.644116459110896,0.6048
Bermuda,62092,"9800",15085,"92770",138,15.783031630483798,153.92857142857144,24.2946,149.40733105714102,0.9148
Bhutan,779900,"1711669",59636,"963360",21,219.47288113860753,3.4840848318220403,7.6466,123.52352865752019,0.0352
Bolivia,11832936,"4316587",910516,"13564389",21949,36.47942488660465,21.0934240407989,7.6948,114.63248850496615,2.4106
Bonaire Sint Eustatius and Saba,26445,"0",10170,"7391",35,0.0,,38.4572,27.948572508980902,0.3441
Bosnia and Herzegovina,3263459,"1043518",377998,"928126",15791,31.97582687571684,36.22342882441893,11.5827,28.43994669459613,4.1775
Botswana,2397240,"999041",308126,"943915",2697,41.67463416262034,30.842177648364782,12.8534,39.37507300061738,0.8753
Brazil,213993441,"37005491",31195118,"433648610",667041,17.292815530733954,84.29861935894864,14.5776,202.64574838067117,2.1383
British Virgin Islands,30423,"96630",6765,"40969",62,317.6215363376393,7.000931387767774,22.2365,134.6645629951024,0.9165
Brunei,441532,"93192",150781,"259735",223,21.106510966362574,161.7960769164735,34.1495,58.825860866256576,0.1479
Bulgaria,6896655,"3430255",1166148,"4218653",37182,49.737952674158706,33.995956568826514,16.9089,61.16955248595153,3.1884
Burkina Faso,21497097,"324773",20899,"98670",384,1.5107760829287786,6.434956107804528,0.0972,0.4589922071803462,1.8374
Burundi,12255429,"1584378",42248,"9648",38,12.927968494615733,2.6665353848639652,0.3447,0.07872429435150739,0.0899
Cambodia,16946446,"2973649",136262,"36482941",3056,17.547331163124113,4.5823162047706365,0.8041,215.2837296976605,2.2427
Cameroon,27224262,"2717815",119947,"986281",1930,9.983062167121371,4.4133614686798035,0.4406,3.622801602482374,1.6090
Canada,38067913,"62059445",3899300,"85658359",41362,163.02297685717627,6.283169306460926,10.2430,225.01459168512864,1.0608
Cape Verde,561901,"282291",56590,"99686",402,50.23856515649554,20.0466894091558,10.0712,17.740847587030455,0.7104
Cayman Islands,66498,"9358",25886,"99790",28,14.072603687328941,276.618935670015,38.9275,150.0646635989052,0.1082
Central African Republic,4919987,"92744",14649,"968802",113,1.8850456312181314,15.795091865781075,0.2977,19.69114959043591,0.7714
Chad,16914985,"216895",7418,"98302",193,1.2822653995850424,3.420088061043362,0.0439,0.5811533382973736,2.6018
Chile,19212362,"38668444",3756220,"57466658",57991,201.2685582334957,9.713915563812188,19.5511,299.1129253133998,1.5439
China,1444216102,"9214000000",884828,"3303909000",5826,637.9931637128361,0.009603082266116779,0.0613,228.76832597452926,0.6584
Colombia,51265841,"34044326",6109105,"50290307",139867,66.40742712091664,17.944561452031685,11.9165,98.09710719463278,2.2895
Comoros,888456,"6227",8126,"90880",161,0.7008788279892307,130.4962261120925,0.9146,10.228981513997317,1.9813
Congo,5657017,"395040",24128,"830379",385,6.98318566127696,6.107735925475901,0.4265,14.678743231636037,1.5957
Cook Islands,17572,"0",5697,"9564",1,0.0,,32.4209,54.42749829273845,0.0176
Costa Rica,5139053,"3132380",904934,"9790312",8525,60.952475096092606,28.889662173810333,17.6090,190.50809555768348,0.9421
Cote d'Ivoire,27053629,"1210395",82309,"9970869",799,4.474057805701409,6.800176801787846,0.3042,36.855938994358205,0.9707
Croatia,4081657,"2726155",1138076,"3723578",16003,66.7903990952694,41.74656246618406,27.8827,91.22711683024811,1.4061
Cuba,11317498,"5296244",1105477,"32639842",8529,46.79695105755707,20.87284875847865,9.7679,288.4015707358641,0.7715
Curacao,164796,"22100",44127,"189498",277,13.410519672807592,199.66968325791856,26.7767,114.98944149129832,0.6277
Cyprus,896005,"29495854",491777,"994390",1067,3291.929620928455,1.6672750007509531,54.8855,110.98040747540472,0.2170
Czechia,10724553,"54519801",3921529,"17643312",40294,508.36432063881824,7.192852739869685,36.5659,164.5132622310692,1.0275
Democratic Republic of Congo,92377986,"998040",89189,"97818",1338,1.080387268888932,8.9364153741333,0.0965,0.10588886404169928,1.5002
Denmark,5813302,"64529614",3138678,"13223386",6376,1110.033746741525,4.863934255053811,53.9913,227.46772832376502,0.2031
Djibouti,1002197,"309732",15675,"64721",189,30.905301053585273,5.060826779280152,1.5641,6.457911967407605,1.2057
Dominica,72172,"202425",14295,"9464",67,280.47580779249574,7.061874768432753,19.8069,13.113118660976555,0.4687
Dominican Republic,10953714,"1524332",586926,"13617850",4377,13.916120139707866,38.50381675383053,5.3582,124.32175972460118,0.7457
Ecuador,17888474,"2804059",885318,"34339297",35649,15.675227523599833,31.572730816291667,4.9491,191.9632552223292,4.0267
Egypt,104258327,"6122287",515645,"9391465",24719,5.8722283161133015,8.422424495944082,0.4946,9.007880013267428,4.7938
El Salvador,6518500,"1847305",163735,"4964236",4133,28.33941857789369,8.863452434763074,2.5119,76.15610953440208,2.5242
Equatorial Guinea,1449891,"479991",16001,"75518",183,33.10531619273449,3.333604171744887,1.1036,5.2085294687669625,1.1437
Eritrea,3601462,"23693",9768,"0",103,0.6578717198737624,41.22736673279028,0.2712,0.0,1.0545
Estonia,1325188,"3400833",576870,"1989913",2574,256.6302290693849,16.962608866710006,43.5312,150.160807372237,0.4462
Eswatini,1172369,"544573",72703,"110765",1410,46.45064821741278,13.350459901610986,6.2014,9.447963908974051,1.9394
Ethiopia,117876226,"3585129",475321,"23047615",7515,3.041435174553349,13.258128229137641,0.4032,19.552386246230853,1.5810
Faeroe Islands,49053,"777845",34658,"99831",28,1585.7236050802194,4.455643476528101,70.6542,203.51660448902206,0.0808
Falkland Islands,3528,"0",1717,"4407",,0.0,,48.6678,124.91496598639455,
Fiji,902899,"402088",65103,"975268",864,44.53299870749663,16.191231770159767,7.2104,108.01518220753373,1.3271
Finland,5548361,"10942363",1105211,"9963908",4627,197.2179351704044,10.100295521177646,19.9196,179.58290745681472,0.4187
France,67422000,"275395183",29702081,"144717386",148539,408.4648675506511,10.785257997776961,44.0540,214.64416065972532,0.5001
French Polynesia,282534,"0",73014,"9692",649,0.0,,25.8426,3.4303835998499297,0.8889
Gabon,2278829,"997059",47677,"8897",304,43.75312934845045,4.781763165469647,2.0922,0.39041981649347096,0.6376
Gambia,2486937,"99342",12002,"720000",365,3.994552334860111,12.081496245294035,0.4826,28.951276208444366,3.0412
Georgia,3979773,"13652505",1655221,"1455821",16811,343.04732958387325,12.123936230017861,41.5908,36.58050346087578,1.0156
Germany,83900471,"99512461",26498361,"180166520",139388,118.60775012812503,26.628183780923674,31.5831,214.7383892517123,0.5260
Ghana,31732128,"1325017",161795,"9004225",1445,4.175632343346151,12.210786729528753,0.5099,28.375736414526,0.8931
Gibraltar,33691,"533268",18560,"99749",102,1582.820337775667,3.4804263522281476,55.0889,296.0701671069425,0.5496
Greece,10370747,"48561395",3473141,"20124855",29927,468.253588675917,7.152061838421239,33.4898,194.05405415829736,0.8617
Greenland,56868,"0",11971,"43336",21,0.0,,21.0505,76.20454385594711,0.1754
Grenada,113015,"166454",17866,"9821",230,147.28487368933327,10.733295685294436,15.8085,8.689996903065964,1.2874
Guam,170184,"317740",,"0",,186.7038029426973,,,0.0,
Guatemala,18249868,"4067775",864768,"13410832",18224,22.289339298234925,21.258992938399984,4.7385,73.48454246354001,2.1074
Guernsey,63385,"0",,"99689",,0.0,,,157.27538061055455,
Guinea,13497237,"695423",36764,"1586407",442,5.152335992914698,5.286566593282075,0.2724,11.753568526654751,1.2023
Guinea-Bissau,2015490,"139700",8283,"94715",171,6.931316950220542,5.929133858267717,0.4110,4.699353507087607,2.0645
Guyana,790329,"442695",65294,"909924",1238,56.01401441678085,14.749206564338879,8.2616,115.1323056600479,1.8960
Haiti,11541683,"197452",30892,"41453",876,1.7107730302417765,15.64532139456678,0.2677,0.35915905851858865,2.8357
Honduras,10062994,"0",425471,"9922570",10971,0.0,,4.2281,98.60455049461423,2.5786
Hong Kong,7552800,"96598",1215696,"17228481",9386,1.2789693888359284,1258.510528168285,16.0960,228.10720527486495,0.7721
Hungary,9634162,"10943720",1919840,"8276404",46547,113.59285841363264,17.542846490955544,19.9274,85.90683860204966,2.4245
Iceland,368792,"1356853",188924,"258851",153,367.91823033037593,13.923689596441177,51.2278,70.1888869606716,0.0810
India,1393409033,"832895771",43185049,"1860726480",524708,59.773960931398676,5.184928355219131,3.0992,133.53770758855129,1.2150
Indonesia,276361788,"51528978",6056017,"330544770",156604,18.645478585483747,11.752643337890381,2.1913,119.60581540310487,2.5859
Iran,85028760,"18074432",7232790,"98181400",141332,21.256845330920974,40.01669319401019,8.5063,115.46846031860278,1.9540
Iraq,41179351,"12996351",2328787,"9632835",25221,31.560358977002817,17.918775816381075,5.6552,23.392391492522552,1.0830
Ireland,4982904,"12241669",1565970,"10885606",7381,245.67338644292565,12.792128262902713,31.4269,218.45907527016374,0.4713
Isle of Man,85410,"0",33098,"99842",107,0.0,,38.7519,116.89731881512704,0.3233
Israel,9291000,"51382042",4154558,"18159083",10864,553.0302658486708,8.085622599428804,44.7159,195.44810031213004,0.2615
Italy,60367471,"221708484",17514589,"137857958",167019,367.26482048585405,7.899828046273592,29.0133,228.36464028781327,0.9536
Jamaica,2973462,"996159",139029,"994691",3074,33.50165564584312,13.956506943168712,4.6757,33.45228558495115,2.2110
